pool_id	virus	n_reads	median_identity	total_aln_bp	n_refs_hit	family	breadth_pct	mean_depth	confidence	n_family_in_pool	ambiguity_flag
pool01	InfluenzaB	39	0.892	76809	4	Orthomyxoviridae	97.9129	30.8113	medium	1	FALSE
pool01	Rhinovirus-A	71923	0.763	231788403	1	Picornaviridae	96.1749	31172.9	low	2	TRUE
pool01	Rhinovirus-C	20	0.696	63161	1	Picornaviridae	66.5446	8.23215	low	2	TRUE
pool01	HCoV-HKU1	4	0.991	6157	1	Coronaviridae	5.12932	0.20387	low	2	TRUE
pool01	HCoV-229E	3	0.96	9735	1	Coronaviridae	30.3547	0.420251	low	2	TRUE
pool01	hMPV	1	0.906	1774	1	Pneumoviridae	12.8989	0.128989	low	1	FALSE
pool02	HCoV-229E	99760	0.972	338277608	1	Coronaviridae	99.4802	12324.9	high	2	TRUE
pool02	InfluenzaA	74	0.88	112232	3	Orthomyxoviridae	97.94	48.1549	medium	1	FALSE
pool02	HCoV-HKU1	23	0.992	45460	1	Coronaviridae	43.7813	1.48683	medium	2	TRUE
pool02	Rhinovirus-A	64	0.722	222275	1	Picornaviridae	93.6668	29.4468	low	3	TRUE
pool02	Rhinovirus-C	16	0.687	55886	1	Picornaviridae	60.093	6.83617	low	3	TRUE
pool02	Rhinovirus-B	1	0.773	4627	1	Picornaviridae	0	0	low	3	TRUE
pool03	HCoV-HKU1	1138	0.989	2783516	1	Coronaviridae	99.726	92.339	high	3	TRUE
pool03	HCoV-NL63	809	0.979	1961701	1	Coronaviridae	99.9855	70.8421	high	3	TRUE
pool03	Rhinovirus-A	79164	0.755	240356124	1	Picornaviridae	99.6357	32312	low	3	TRUE
pool03	Rhinovirus-B	120	0.782	287988	1	Picornaviridae	99.7087	39.2701	low	3	TRUE
pool03	Rhinovirus-C	108	0.716	247694	1	Picornaviridae	90.5621	32.6914	low	3	TRUE
pool03	SARS-CoV-2	3	0.981	6595	1	Coronaviridae	21.4795	0.214795	low	3	TRUE
pool04	HCoV-229E	78239	0.971	222104821	1	Coronaviridae	75.2023	8093.23	high	3	TRUE
pool04	SARS-CoV-2	5	0.992	16437	1	Coronaviridae	18.2724	0.548942	medium	3	TRUE
pool04	Rhinovirus-A	7297	0.724	21539137	1	Picornaviridae	93.919	2838.6	low	2	TRUE
pool04	Rhinovirus-C	7	0.78	1541	1	Picornaviridae	3.15537	0.202845	low	2	TRUE
pool04	HCoV-NL63	1	0.988	1015	1	Coronaviridae	3.68381	0.0368381	low	3	TRUE
pool05	Rhinovirus-A	51010	0.748	160298591	1	Picornaviridae	97.0156	21337.6	low	2	TRUE
pool05	Rhinovirus-B	26971	0.72	98207500	1	Picornaviridae	96.4345	13008.8	low	2	TRUE
pool05	HCoV-229E	2	0.969	5487	1	Coronaviridae	19.8851	0.198851	low	2	TRUE
pool05	HCoV-HKU1	2	0.977	3804	1	Coronaviridae	12.6211	0.126211	low	2	TRUE
pool05	HPIV4	1	0.91	2293	1	Paramyxoviridae	13.4178	0.134178	low	1	FALSE
pool06	HCoV-229E	99849	0.971	304528992	1	Coronaviridae	99.8865	11090.5	high	4	TRUE
pool06	HCoV-HKU1	18	0.984	54344	1	Coronaviridae	27.4277	1.81411	medium	4	TRUE
pool06	Rhinovirus-A	27	0.686	60799	1	Picornaviridae	82.906	7.71304	low	2	TRUE
pool06	SARS-CoV-2	2	0.991	7473	1	Coronaviridae	24.9239	0.249239	low	4	TRUE
pool06	HCoV-NL63	1	0.982	2381	1	Coronaviridae	8.6379	0.086379	low	4	TRUE
pool06	InfluenzaA	1	0.878	2156	1	Orthomyxoviridae	96.1935	0.961935	low	1	FALSE
pool06	Rhinovirus-C	1	0.716	2943	1	Picornaviridae	39.1745	0.391745	low	2	TRUE
pool07	HCoV-NL63	4822	0.978	11797460	1	Coronaviridae	42.4455	425.502	high	3	TRUE
pool07	hMPV	782	0.834	1583057	1	Pneumoviridae	56.5019	117.13	medium	1	FALSE
pool07	HCoV-229E	6	0.94	14871	1	Coronaviridae	37.3321	0.631438	medium	3	TRUE
pool07	Rhinovirus-A	56851	0.717	231588189	1	Picornaviridae	65.0133	30426.5	low	3	TRUE
pool07	Rhinovirus-C	2770	0.686	10225074	1	Picornaviridae	69.9394	1337.46	low	3	TRUE
pool07	Rhinovirus-B	1223	0.726	4224170	1	Picornaviridae	91.4956	553.477	low	3	TRUE
pool07	HCoV-OC43	1	0.87	3103	1	Coronaviridae	11.2879	0.112879	low	3	TRUE
pool08	HCoV-229E	90540	0.972	241510764	1	Coronaviridae	99.9597	8773.79	high	3	TRUE
pool08	SARS-CoV-2	124	0.992	347015	1	Coronaviridae	41.036	11.5535	high	3	TRUE
pool08	Rhinovirus-B	3546	0.747	8800403	1	Picornaviridae	96.9756	1172.47	low	3	TRUE
pool08	Rhinovirus-A	660	0.761	1347676	1	Picornaviridae	92.9662	181.825	low	3	TRUE
pool08	Rhinovirus-C	29	0.708	96397	1	Picornaviridae	95.2388	12.6635	low	3	TRUE
pool08	HCoV-HKU1	2	0.991	2838	1	Coronaviridae	9.47671	0.0947671	low	3	TRUE
pool09	HCoV-229E	97338	0.973	301526626	1	Coronaviridae	96.3283	10988.6	high	2	TRUE
pool09	HCoV-NL63	244	0.975	633358	1	Coronaviridae	77.3854	22.8668	high	2	TRUE
pool09	hMPV	5	0.859	6836	1	Pneumoviridae	22.427	0.503221	medium	1	FALSE
pool09	Rhinovirus-A	1920	0.761	5714049	1	Picornaviridae	94.5635	764.257	low	2	TRUE
pool09	Rhinovirus-C	3	0.816	661	1	Picornaviridae	3.29624	0.0871954	low	2	TRUE
pool10	SARS-CoV-2	31	0.991	84479	1	Coronaviridae	14.6607	2.81463	medium	1	FALSE
pool10	Rhinovirus-A	96854	0.754	352739076	1	Picornaviridae	99.7198	47228.8	low	3	TRUE
pool10	Rhinovirus-C	62	0.684	208315	1	Picornaviridae	93.1399	27.3595	low	3	TRUE
pool10	Rhinovirus-B	8	0.712	22520	1	Picornaviridae	78.3435	2.99168	low	3	TRUE
pool11	HCoV-NL63	99980	0.976	261269768	1	Coronaviridae	88.4332	9445.33	high	2	TRUE
pool11	HCoV-229E	1	0.977	2944	1	Coronaviridae	10.7699	0.107699	low	2	TRUE
pool11	Rhinovirus-B	1	0.746	970	1	Picornaviridae	12.5277	0.125277	low	1	FALSE
pool12	HCoV-NL63	479	0.972	1362866	1	Coronaviridae	75.5126	49.2575	high	1	FALSE
pool12	Rhinovirus-C	55228	0.694	205482338	1	Picornaviridae	98.0138	26469.7	low	3	TRUE
pool12	Rhinovirus-A	18179	0.781	10909803	1	Picornaviridae	96.0628	1408.54	low	3	TRUE
pool12	Rhinovirus-B	222	0.767	73682	1	Picornaviridae	6.83962	9.17994	low	3	TRUE
pool12	hMPV	2	0.909	6658	1	Pneumoviridae	25.8052	0.492959	low	1	FALSE
pool13	Rhinovirus-B	197	0.802	53324	1	Picornaviridae	6.83962	6.59656	medium	3	TRUE
pool13	HCoV-229E	7	0.964	21497	1	Coronaviridae	50.119	0.770473	medium	2	TRUE
pool13	HCoV-NL63	7	0.986	18761	1	Coronaviridae	54.4877	0.679926	medium	2	TRUE
pool13	Rhinovirus-C	26578	0.696	95894016	1	Picornaviridae	91.1255	12318.4	low	3	TRUE
pool13	Rhinovirus-A	9496	0.784	4293031	1	Picornaviridae	25.2907	543.221	low	3	TRUE
pool14	Rhinovirus-A	86914	0.759	260968157	1	Picornaviridae	100	35141.1	low	3	TRUE
pool14	Rhinovirus-B	2624	0.78	8048037	1	Picornaviridae	99.9861	1095.53	low	3	TRUE
pool14	Rhinovirus-C	99	0.705	317515	1	Picornaviridae	63.0793	41.261	low	3	TRUE
pool15	hMPV	612	0.922	1781997	1	Pneumoviridae	69.7678	132.078	high	1	FALSE
pool15	Rhinovirus-A	19662	0.773	44502132	1	Picornaviridae	97.8843	5878.64	low	3	TRUE
pool15	Rhinovirus-C	5467	0.709	14982385	1	Picornaviridae	91.1396	1970.09	low	3	TRUE
pool15	Rhinovirus-B	9	0.759	4264	1	Picornaviridae	16.343	0.508185	low	3	TRUE
